[16:41:57.384] Namespace(strings=[], root_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', volume_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', list_dir='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=10, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-08_19_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[16:41:57.384] ##########Disable test_save##########
[16:41:57.384] ##########Using dual supervision##########
[16:41:57.390] 175 iterations per epoch. 1750 max iterations 
[16:42:05.851] iteration 2, epoch 0 : loss : 9.591969, lr: 0.000100
[16:42:06.640] iteration 4, epoch 0 : loss : 6.183342, lr: 0.000100
[16:42:07.419] iteration 6, epoch 0 : loss : 4.900681, lr: 0.000100
[16:42:08.204] iteration 8, epoch 0 : loss : 4.783854, lr: 0.000100
[16:42:08.985] iteration 10, epoch 0 : loss : 4.503324, lr: 0.000100
[16:42:09.770] iteration 12, epoch 0 : loss : 4.375198, lr: 0.000100
[16:42:10.575] iteration 14, epoch 0 : loss : 4.441189, lr: 0.000100
[16:42:11.356] iteration 16, epoch 0 : loss : 5.188002, lr: 0.000100
[16:42:12.131] iteration 18, epoch 0 : loss : 4.243485, lr: 0.000100
[16:42:12.929] iteration 20, epoch 0 : loss : 4.240711, lr: 0.000100
[16:42:13.714] iteration 22, epoch 0 : loss : 4.242975, lr: 0.000100
[16:42:14.491] iteration 24, epoch 0 : loss : 4.158548, lr: 0.000100
[16:42:15.272] iteration 26, epoch 0 : loss : 4.196826, lr: 0.000100
[16:42:16.059] iteration 28, epoch 0 : loss : 4.216954, lr: 0.000100
[16:42:16.854] iteration 30, epoch 0 : loss : 3.888425, lr: 0.000100
[16:42:17.641] iteration 32, epoch 0 : loss : 3.980476, lr: 0.000100
[16:42:18.429] iteration 34, epoch 0 : loss : 0.699441, lr: 0.000100
[16:42:19.211] iteration 36, epoch 0 : loss : 0.703696, lr: 0.000100
[16:42:20.009] iteration 38, epoch 0 : loss : 3.825208, lr: 0.000100
[16:42:20.799] iteration 40, epoch 0 : loss : 3.799549, lr: 0.000100
[16:42:21.582] iteration 42, epoch 0 : loss : 3.759177, lr: 0.000100
[16:42:22.359] iteration 44, epoch 0 : loss : 3.819919, lr: 0.000100
[16:42:23.159] iteration 46, epoch 0 : loss : 3.827842, lr: 0.000100
[16:42:23.949] iteration 48, epoch 0 : loss : 3.797380, lr: 0.000100
[16:42:24.729] iteration 50, epoch 0 : loss : 3.775953, lr: 0.000100
[16:42:25.519] iteration 52, epoch 0 : loss : 3.744971, lr: 0.000100
[16:42:26.309] iteration 54, epoch 0 : loss : 0.757009, lr: 0.000100
[16:42:27.104] iteration 56, epoch 0 : loss : 3.703689, lr: 0.000100
[16:42:27.909] iteration 58, epoch 0 : loss : 3.561407, lr: 0.000100
[16:42:28.701] iteration 60, epoch 0 : loss : 0.236860, lr: 0.000100
[16:42:29.489] iteration 62, epoch 0 : loss : 3.527881, lr: 0.000100
[16:42:30.269] iteration 64, epoch 0 : loss : 0.235104, lr: 0.000100
[16:42:31.074] iteration 66, epoch 0 : loss : 3.616444, lr: 0.000100
[16:42:31.854] iteration 68, epoch 0 : loss : 3.603706, lr: 0.000100
[16:42:32.633] iteration 70, epoch 0 : loss : 3.531978, lr: 0.000100
[16:42:33.449] iteration 72, epoch 0 : loss : 3.552021, lr: 0.000100
[16:42:34.224] iteration 74, epoch 0 : loss : 0.241982, lr: 0.000100
[16:42:35.009] iteration 76, epoch 0 : loss : 0.243429, lr: 0.000100
[16:42:35.809] iteration 78, epoch 0 : loss : 0.243399, lr: 0.000100
[16:42:36.616] iteration 80, epoch 0 : loss : 3.680817, lr: 0.000100
[16:42:37.439] iteration 82, epoch 0 : loss : 3.621000, lr: 0.000100
[16:42:38.219] iteration 84, epoch 0 : loss : 3.597733, lr: 0.000100
[16:42:39.019] iteration 86, epoch 0 : loss : 3.569150, lr: 0.000100
[16:42:39.793] iteration 88, epoch 0 : loss : 3.613318, lr: 0.000100
[16:42:40.591] iteration 90, epoch 0 : loss : 3.525353, lr: 0.000100
[16:42:41.379] iteration 92, epoch 0 : loss : 0.241100, lr: 0.000100
[16:42:42.152] iteration 94, epoch 0 : loss : 3.542682, lr: 0.000100
[16:42:42.941] iteration 96, epoch 0 : loss : 3.564527, lr: 0.000100
[16:42:43.739] iteration 98, epoch 0 : loss : 0.237336, lr: 0.000100
[16:42:44.519] iteration 100, epoch 0 : loss : 0.237390, lr: 0.000100
[16:42:45.313] iteration 102, epoch 0 : loss : 3.530092, lr: 0.000100
[16:42:46.094] iteration 104, epoch 0 : loss : 3.772526, lr: 0.000100
[16:42:46.884] iteration 106, epoch 0 : loss : 3.588109, lr: 0.000100
[16:42:47.663] iteration 108, epoch 0 : loss : 3.593088, lr: 0.000100
[16:42:48.444] iteration 110, epoch 0 : loss : 3.533040, lr: 0.000100
[16:42:49.229] iteration 112, epoch 0 : loss : 3.576014, lr: 0.000100
[16:42:50.034] iteration 114, epoch 0 : loss : 3.549717, lr: 0.000100
[16:42:50.825] iteration 116, epoch 0 : loss : 0.431982, lr: 0.000100
[16:42:51.599] iteration 118, epoch 0 : loss : 3.541829, lr: 0.000100
[16:42:52.380] iteration 120, epoch 0 : loss : 3.584642, lr: 0.000100
[16:42:53.173] iteration 122, epoch 0 : loss : 3.550102, lr: 0.000100
[16:42:53.974] iteration 124, epoch 0 : loss : 3.605017, lr: 0.000100
[16:42:54.773] iteration 126, epoch 0 : loss : 3.567432, lr: 0.000100
[16:42:55.571] iteration 128, epoch 0 : loss : 3.609070, lr: 0.000100
[16:42:56.400] iteration 130, epoch 0 : loss : 3.789470, lr: 0.000100
[16:42:57.193] iteration 132, epoch 0 : loss : 3.548675, lr: 0.000100
[16:42:58.045] iteration 134, epoch 0 : loss : 3.592640, lr: 0.000100
[16:42:58.833] iteration 136, epoch 0 : loss : 3.585527, lr: 0.000100
[16:42:59.630] iteration 138, epoch 0 : loss : 3.661234, lr: 0.000100
[16:43:00.408] iteration 140, epoch 0 : loss : 0.241658, lr: 0.000100
[16:43:01.192] iteration 142, epoch 0 : loss : 3.600117, lr: 0.000100
[16:43:01.978] iteration 144, epoch 0 : loss : 3.532823, lr: 0.000100
[16:43:02.778] iteration 146, epoch 0 : loss : 0.242809, lr: 0.000100
[16:43:03.573] iteration 148, epoch 0 : loss : 3.638218, lr: 0.000100
[16:43:04.358] iteration 150, epoch 0 : loss : 0.247953, lr: 0.000100
[16:43:05.143] iteration 152, epoch 0 : loss : 3.581192, lr: 0.000100
[16:43:05.948] iteration 154, epoch 0 : loss : 3.557435, lr: 0.000100
[16:43:06.728] iteration 156, epoch 0 : loss : 3.587630, lr: 0.000100
[16:43:07.523] iteration 158, epoch 0 : loss : 3.558211, lr: 0.000100
[16:43:08.324] iteration 160, epoch 0 : loss : 3.574246, lr: 0.000100
[16:43:09.118] iteration 162, epoch 0 : loss : 3.556973, lr: 0.000100
[16:43:09.913] iteration 164, epoch 0 : loss : 3.802210, lr: 0.000100
[16:43:10.703] iteration 166, epoch 0 : loss : 3.561765, lr: 0.000100
[16:43:11.488] iteration 168, epoch 0 : loss : 0.420467, lr: 0.000100
[16:43:12.278] iteration 170, epoch 0 : loss : 3.644649, lr: 0.000100
[16:43:13.068] iteration 172, epoch 0 : loss : 3.682564, lr: 0.000100
[16:43:13.850] iteration 174, epoch 0 : loss : 3.543441, lr: 0.000100
[16:43:20.953] iteration 175, epoch 0 : loss : 3.606536, lr: 0.000100
[16:43:21.351] iteration 176, epoch 1 : loss : 3.636536, lr: 0.000100
