[18:40:00.316] Namespace(strings=[], root_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', volume_path='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/train_npz_new', list_dir='C:/Users/jaydu/OneDrive/Desktop/python_projects/polpy classification/PraNet-V2/Dataset/classification_data/lists_Synapse', dataset='Synapse', num_classes=3, max_iterations=30000, max_epochs=10, batch_size=4, n_gpu=1, deterministic=1, base_lr=1e-05, img_size=256, seed=2222, dual=True, z_spacing=1, is_pretrain=True, exp='run_2025-10-08_21_Dual_MIST_CAM_loss_MUTATION_w3_7_256')
[18:40:00.316] ##########Disable test_save##########
[18:40:00.364] ##########Using dual supervision##########
[18:40:00.370] 175 iterations per epoch. 1750 max iterations 
[18:40:12.517] iteration 2, epoch 0 : loss : 1.302565, lr: 0.000010
[18:40:13.463] iteration 4, epoch 0 : loss : 1.196499, lr: 0.000010
[18:40:14.477] iteration 6, epoch 0 : loss : 1.138442, lr: 0.000010
[18:40:15.453] iteration 8, epoch 0 : loss : 1.074661, lr: 0.000010
[18:40:16.466] iteration 10, epoch 0 : loss : 1.070228, lr: 0.000010
[18:40:17.446] iteration 12, epoch 0 : loss : 0.978881, lr: 0.000010
[18:40:18.428] iteration 14, epoch 0 : loss : 0.910182, lr: 0.000010
[18:40:19.413] iteration 16, epoch 0 : loss : 1.971825, lr: 0.000010
[18:40:20.391] iteration 18, epoch 0 : loss : 0.902392, lr: 0.000010
[18:40:21.387] iteration 20, epoch 0 : loss : 0.980890, lr: 0.000010
[18:40:22.396] iteration 22, epoch 0 : loss : 0.927798, lr: 0.000010
[18:40:23.341] iteration 24, epoch 0 : loss : 1.072102, lr: 0.000010
[18:40:24.321] iteration 26, epoch 0 : loss : 1.160141, lr: 0.000010
[18:40:25.308] iteration 28, epoch 0 : loss : 0.991324, lr: 0.000010
[18:40:26.291] iteration 30, epoch 0 : loss : 0.914838, lr: 0.000010
[18:40:27.291] iteration 32, epoch 0 : loss : 0.999510, lr: 0.000010
[18:40:28.277] iteration 34, epoch 0 : loss : 0.798452, lr: 0.000010
[18:40:29.241] iteration 36, epoch 0 : loss : 0.803746, lr: 0.000010
[18:40:30.256] iteration 38, epoch 0 : loss : 0.869913, lr: 0.000010
[18:40:31.258] iteration 40, epoch 0 : loss : 0.818698, lr: 0.000010
[18:40:32.191] iteration 42, epoch 0 : loss : 0.808602, lr: 0.000010
[18:40:33.131] iteration 44, epoch 0 : loss : 0.968916, lr: 0.000010
[18:40:34.111] iteration 46, epoch 0 : loss : 0.980950, lr: 0.000010
[18:40:35.096] iteration 48, epoch 0 : loss : 0.846945, lr: 0.000010
[18:40:36.071] iteration 50, epoch 0 : loss : 0.846134, lr: 0.000010
[18:40:37.059] iteration 52, epoch 0 : loss : 0.830475, lr: 0.000010
[18:40:38.051] iteration 54, epoch 0 : loss : 0.774595, lr: 0.000010
[18:40:39.033] iteration 56, epoch 0 : loss : 1.055819, lr: 0.000010
[18:40:39.991] iteration 58, epoch 0 : loss : 0.772463, lr: 0.000010
[18:40:40.981] iteration 60, epoch 0 : loss : 0.767391, lr: 0.000010
[18:40:41.985] iteration 62, epoch 0 : loss : 0.738285, lr: 0.000010
[18:40:42.983] iteration 64, epoch 0 : loss : 0.730946, lr: 0.000010
[18:40:43.970] iteration 66, epoch 0 : loss : 1.221259, lr: 0.000010
[18:40:44.963] iteration 68, epoch 0 : loss : 0.816425, lr: 0.000010
[18:40:45.979] iteration 70, epoch 0 : loss : 0.866129, lr: 0.000010
[18:40:46.980] iteration 72, epoch 0 : loss : 0.737406, lr: 0.000010
[18:40:47.966] iteration 74, epoch 0 : loss : 0.724617, lr: 0.000010
[18:40:48.955] iteration 76, epoch 0 : loss : 0.778255, lr: 0.000010
[18:40:49.944] iteration 78, epoch 0 : loss : 0.689211, lr: 0.000010
[18:40:50.950] iteration 80, epoch 0 : loss : 1.546119, lr: 0.000010
[18:40:51.961] iteration 82, epoch 0 : loss : 0.905749, lr: 0.000010
[18:40:52.950] iteration 84, epoch 0 : loss : 0.783999, lr: 0.000010
[18:40:53.904] iteration 86, epoch 0 : loss : 1.208913, lr: 0.000010
[18:40:54.889] iteration 88, epoch 0 : loss : 0.766500, lr: 0.000010
[18:40:55.837] iteration 90, epoch 0 : loss : 0.769009, lr: 0.000010
[18:40:56.806] iteration 92, epoch 0 : loss : 0.686857, lr: 0.000010
[18:40:57.803] iteration 94, epoch 0 : loss : 0.827114, lr: 0.000010
[18:40:58.810] iteration 96, epoch 0 : loss : 0.761764, lr: 0.000010
[18:40:59.801] iteration 98, epoch 0 : loss : 0.738072, lr: 0.000010
[18:41:00.742] iteration 100, epoch 0 : loss : 0.688400, lr: 0.000010
[18:41:01.771] iteration 102, epoch 0 : loss : 0.884707, lr: 0.000010
[18:41:02.810] iteration 104, epoch 0 : loss : 0.938677, lr: 0.000010
[18:41:03.795] iteration 106, epoch 0 : loss : 0.792038, lr: 0.000010
[18:41:04.750] iteration 108, epoch 0 : loss : 1.106467, lr: 0.000010
[18:41:05.709] iteration 110, epoch 0 : loss : 0.804540, lr: 0.000010
[18:41:06.712] iteration 112, epoch 0 : loss : 0.702356, lr: 0.000010
[18:41:07.740] iteration 114, epoch 0 : loss : 0.894919, lr: 0.000010
